page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  21   158 smask     167   148  gray    1   8  jpx    no       400  0   200   201 3928B  16%
  21   159 image     213   160  icc     3   8  jpx    no       402  0   201   201 6603B 6.5%
  21   160 image     144   179  index   1   8  image  no       404  0   200   201 5039B  20%
  21   161 image     187   180  icc     3   8  jpx    no       408  0   201   200 7546B 7.5%
  21   162 smask     187   180  gray    1   8  jpx    no       408  0   201   200 2884B 8.6%
  21   163 image     171   179  icc     3   8  jpx    no       412  0   200   201 7334B 8.0%
  21   164 smask     171   179  gray    1   8  jpx    no       412  0   200   201 2552B 8.3%
  21   165 image     186   139  icc     3   8  jpx    no       414  0   201   200 6284B 8.1%
  21   166 image     222   166  icc     3   8  jpx    no       416  0   201   200 8176B 7.4%
  21   167 image     189   142  icc     3   8  jpx    no       418  0   201   201 7034B 8.7%
  21   168 image     185   173  icc     3   8  jpx    no       422  0   200   201 7848B 8.2%
  21   169 smask     185   173  gray    1   8  jpx    no       422  0   200   201  318B 1.0%
  22   170 image     177   146  icc     3   8  jpx    no       427  0   201   201 7134B 9.2%
  22   171 image     135   171  icc     3   8  jpx    no       429  0   201   201 6385B 9.2%
  22   172 image     205   143  icc     3   8  jpx    no       431  0   201   200 6548B 7.4%
  22   173 image     135   211  icc     3   8  jpx    no       433  0   201   200 6408B 7.5%
  22   174 image     196   179  icc     3   8  jpx    no       435  0   200   201 6622B 6.3%
  22   175 image     119   188  icc     3   8  jpx    no       437  0   200   201 6437B 9.6%
  22   176 image     118   189  icc     3   8  jpx    no       439  0   200   201 6400B 9.6%
  22   177 image     116   184  icc     3   8  jpx    no       441  0   201   200 6561B  10%
  22   178 image     130   173  icc     3   8  jpx    no       443  0   200   200 6392B 9.5%
  23   179 image     125   185  icc     3   8  jpx    no       448  0   201   200 6896B  10%
  23   180 image     135   195  icc     3   8  jpx    no       450  0   201   200 6574B 8.3%
  23   181 image     140   249  icc     3   8  jpx    no       454  0   200   200 6954B 6.6%
  23   182 smask     140   249  gray    1   8  jpx    no       454  0   200   200 2920B 8.4%
  23   183 image     140   252  icc     3   8  jpx    no       458  0   200   200 7062B 6.7%
  23   184 smask     140   252  gray    1   8  jpx    no       458  0   200   200 2718B 7.7%
  23   185 image     120   170  icc     3   8  jpx    no       462  0   201   201 7197B  12%
  23   186 smask     120   170  gray    1   8  jpx    no       462  0   201   201 2594B  13%
  23   187 image     120   170  icc     3   8  jpx    no       466  0   201   201 6704B  11%
  23   188 smask     120   170  gray    1   8  jpx    no       466  0   201   201 2607B  13%
  23   189 image     120   174  icc     3   8  jpx    no       470  0   201   201 7314B  12%
  23   190 smask     120   174  gray    1   8  jpx    no       470  0   201   201 2608B  12%
  23   191 image     116   169  icc     3   8  jpx    no       474  0   200   201 6851B  12%
  23   192 smask     116   169  gray    1   8  jpx    no       474  0   200   201 2624B  13%
  23   193 image     113   199  icc     3   8  jpx    no       476  0   200   201 7860B  12%
  24   194 image     131   201  icc     3   8  jpx    no       481  0   201   201 7151B 9.1%
  24   195 image     108   193  icc     3   8  jpx    no       483  0   202   200 6633B  11%
  24   196 image     185   168  icc     3   8  jpx    no       485  0   201   201 7022B 7.5%
  24   197 image     156   179  icc     3   8  jpx    no       487  0   201   201 7721B 9.2%
  24   198 image     191   179  icc     3   8  jpx    no       489  0   200   200 7324B 7.1%
  24   199 image     149   196  icc     3   8  jpx    no       491  0   200   201 6862B 7.8%
  24   200 image     140   196  icc     3   8  jpx    no       493  0   200   201 7029B 8.5%
  24   201 image     131   182  icc     3   8  jpx    no       495  0   200   200 6586B 9.2%
  24   202 image      95   182  icc     3   8  jpx    no       499  0   201   200 6703B  13%
  24   203 smask      95   182  gray    1   8  jpx    no       499  0   201   200 2850B  16%
  24   204 image     115   209  icc     3   8  jpx    no       503  0   201   200 6927B 9.6%
  24   205 smask     115   209  gray    1   8  jpx    no       503  0   201   200 2632B  11%
  25   206 image     166   164  icc     3   8  jpx    no       510  0   201   201 7303B 8.9%
  25   207 smask     166   164  gray    1   8  jpx    no       510  0   201   201 3865B  14%
  25   208 image     151   169  icc     3   8  jpx    no       514  0   201   201 7262B 9.5%
  25   209 smask     151   169  gray    1   8  jpx    no       514  0   201   201 3991B  16%
  25   210 image     167   182  icc     3   8  jpx    no       518  0   201   201 8584B 9.4%
  25   211 smask     167   182  gray    1   8  jpx    no       518  0   201   201 4232B  14%
  25   212 image     192   151  icc     3   8  jpx    no       522  0   200   200 7166B 8.2%
  25   213 smask     192   151  gray    1   8  jpx    no       522  0   200   200 4367B  15%
  25   214 image      79   169  icc     3   8  jpx    no       524  0   200   201 6680B  17%
  25   215 image     147   162  icc     3   8  jpx    no       525  0   201   201 7063B 9.9%
  26   216 image    1660  2345  icc     3   8  jpx    no       530  0   200   200  407K 3.6%
  27   217 image     507  2345  icc     3   8  jpx    no       535  0   200   200  134K 3.8%
  28   218 image    1458  2080  icc     3   8  jpx    no       540  0   200   200  294K 3.3%
  28   219 image    1314  1268  icc     3   8  jpx    no       544  0   200   200  122K 2.5%
  28   220 smask    1314  1268  gray    1   8  jpx    no       544  0   200   200 44.6K 2.7%
  29   221 image     192   176  icc     3   8  jpx    no       551  0   201   201 9498B 9.4%
  29   222 smask     192   176  gray    1   8  jpx    no       551  0   201   201 5611B  17%
  29   223 image     219   189  icc     3   8  jpx    no       553  0   201   201 10.1K 8.4%
  29   224 image     187   201  icc     3   8  jpx    no       555  0   200   200 10.3K 9.4%
  30   225 image    1660  2054  icc     3   8  jpx    no       560  0   200   200  412K 4.1%
  30   226 image     105    87  icc     3   8  jpx    no       564  0   201   201 12.6K  47%
  30   227 smask     105    87  gray    1   8  jpx    no       564  0   201   201 3636B  40%
  31   228 image     655  2054  icc     3   8  jpx    no       569  0   200   200  189K 4.8%
  32   229 image     198   125  icc     3   8  jpx    no       574  0   200   200 6760B 9.1%
  32   230 image     209   120  icc     3   8  jpx    no       576  0   201   201 6742B 9.0%
  32   231 image     209   131  icc     3   8  jpx    no       582  0   201   200 6530B 8.0%
  32   232 image     174   124  icc     3   8  jpx    no       584  0   200   201 6954B  11%
  32   233 image     203   114  icc     3   8  jpx    no       586  0   201   201 6793B 9.8%
  32   234 image     129   154  icc     3   8  jpx    no       588  0   201   201 6399B  11%
  32   235 image     207   126  icc     3   8  jpx    no       590  0   201   201 6938B 8.9%
  32   236 image     209   116  index   1   8  image  no       592  0   201   200 5777B  24%
  32   237 image     172   106  icc     3   8  jpx    no       596  0   201   201 8084B  15%
  32   238 smask     172   106  gray    1   8  jpx    no       596  0   201   201 3593B  20%
  32   239 image     174   107  icc     3   8  jpx    no       600  0   201   201 8188B  15%
  32   240 smask     174   107  gray    1   8  jpx    no       600  0   201   201 3605B  19%
  32   241 image     198   129  icc     3   8  jpx    no       580  0   200   201 7200B 9.4%
  32   242 smask     198   129  gray    1   8  jpx    no       580  0   200   201 4326B  17%
  33   243 image     209   129  icc     3   8  jpx    no       605  0   200   200 6535B 8.1%
  33   244 smask     209   129  gray    1   8  jpx    no       605  0   200   200 4300B  16%
  33   245 image     209   100  icc     3   8  jpx    no       607  0   200   201 7333B  12%
  33   246 image     218   102  icc     3   8  jpx    no       613  0   200   202 6489B 9.7%
  33   247 image     212   105  icc     3   8  jpx    no       615  0   201   200 6236B 9.3%
  33   248 image     197   114  icc     3   8  jpx    no       617  0   201   200 6359B 9.4%
  33   249 image     234   128  icc     3   8  jpx    no       619  0   201   201 6754B 7.5%
  33   250 smask     234   128  gray    1   8  jpx    no       619  0   201   201 4247B  14%
  33   251 image     234   120  icc     3   8  jpx    no       621  0   201   200 6525B 7.7%
  33   252 image     227   123  icc     3   8  jpx    no       625  0   201   202 7799B 9.3%
  33   253 smask     227   123  gray    1   8  jpx    no       625  0   201   202 4191B  15%
  33   254 image     227   123  icc     3   8  jpx    no       629  0   201   201 6694B 8.0%
  33   255 smask     227   123  gray    1   8  jpx    no       629  0   201   201 4183B  15%
  33   256 image     227   123  icc     3   8  jpx    no       631  0   201   201 6993B 8.3%
  33   257 image     204   123  icc     3   8  jpx    no       609  0   200   200 8143B  11%
  33   258 image     229   125  icc     3   8  jpx    no       611  0   201   201 6667B 7.8%
  34   259 image    1657  1425  icc     3   8  jpx    no       636  0   200   200  353K 5.1%
  34   260 image     224   111  icc     3   8  jpx    no       638  0   200   201 6469B 8.7%
  34   261 image     220   123  icc     3   8  jpx    no       642  0   201   201 7657B 9.4%
  34   262 smask     220   123  gray    1   8  jpx    no       642  0   201   201 4112B  15%
  34   263 image     187   125  icc     3   8  jpx    no       646  0   201   201 7742B  11%
  34   264 smask     187   125  gray    1   8  jpx    no       646  0   201   201 3633B  16%
  34   265 image     228   145  icc     3   8  jpx    no       648  0   201   201 6977B 7.0%
  35   266 image     237   128  icc     3   8  jpx    no       655  0   201   200 8318B 9.1%
  35   267 smask     237   128  gray    1   8  jpx    no       655  0   201   200 4340B  14%
  35   268 image     218   126  icc     3   8  jpx    no       657  0   200   201 7112B 8.6%
  35   269 image     228   120  icc     3   8  jpx    no       661  0   200   201 7201B 8.8%
  35   270 image     222   125  icc     3   8  jpx    no       665  0   200   201 8004B 9.6%
  35   271 smask     222   125  gray    1   8  jpx    no       665  0   200   201 4273B  15%
  35   272 image     229   126  icc     3   8  jpx    no       667  0   200   201 6523B 7.5%
  35   273 image     225   147  icc     3   8  jpx    no       671  0   201   201 7529B 7.6%
  35   274 smask     225   147  gray    1   8  jpx    no       671  0   201   201 4756B  14%
  35   275 image     224   147  icc     3   8  jpx    no       675  0   200   201 7892B 8.0%
  35   276 smask     224   147  gray    1   8  jpx    no       675  0   200   201 4668B  14%
  35   277 image     225   129  icc     3   8  jpx    no       677  0   201   200 6992B 8.0%
  35   278 image     217   129  icc     3   8  jpx    no       679  0   200   201 7435B 8.9%
  35   279 image     224   124  icc     3   8  jpx    no       681  0   201   200 6762B 8.1%
  35   280 image     205   128  icc     3   8  jpx    no       659  0   200   200 7059B 9.0%
  36   281 image     214   124  icc     3   8  jpx    no       686  0   200   201 7266B 9.1%
  36   282 image     206   129  icc     3   8  jpx    no       688  0   201   201 7071B 8.9%
  36   283 image     225   136  icc     3   8  jpx    no       694  0   201   201 6682B 7.3%
  36   284 image     220   129  icc     3   8  jpx    no       696  0   200   201 6634B 7.8%
  36   285 image     220   129  icc     3   8  jpx    no       698  0   201   201 6744B 7.9%
  36   286 image     220   127  icc     3   8  jpx    no       700  0   200   200 6832B 8.2%
  36   287 image     220   129  icc     3   8  jpx    no       702  0   200   201 6848B 8.0%
  36   288 image     200   116  icc     3   8  jpx    no       706  0   201   201 7705B  11%
  36   289 smask     200   116  gray    1   8  jpx    no       706  0   201   201 4011B  17%
  36   290 image     211   122  icc     3   8  jpx    no       710  0   201   201 7304B 9.5%
  36   291 smask     211   122  gray    1   8  jpx    no       710  0   201   201 4200B  16%
  36   292 image     220   136  icc     3   8  jpx    no       712  0   201   200 6985B 7.8%
  36   293 image     216   118  icc     3   8  jpx    no       692  0   201   201 7555B 9.9%
  36   294 smask     216   118  gray    1   8  jpx    no       692  0   201   201 4202B  16%
  37   295 image     225   116  icc     3   8  jpx    no       718  0   200   201 6659B 8.5%
  37   296 image     228   126  icc     3   8  jpx    no       722  0   201   200 7744B 9.0%
  37   297 smask     228   126  gray    1   8  jpx    no       722  0   201   200 4261B  15%
  37   298 image     206   121  icc     3   8  jpx    no       730  0   201   200 7657B  10%
  37   299 smask     206   121  gray    1   8  jpx    no       730  0   201   200 3929B  16%
  37   300 image     230   128  icc     3   8  jpx    no       734  0   201   201 7353B 8.3%
  37   301 smask     230   128  gray    1   8  jpx    no       734  0   201   201 4224B  14%
  37   302 image     204   118  icc     3   8  jpx    no       736  0   200   201 7083B 9.8%
  37   303 image     230   119  index   1   8  image  no       738  0   201   201 7328B  27%
  37   304 image     229   111  icc     3   8  jpx    no       742  0   201   202 7577B  10%
  37   305 smask     229   111  gray    1   8  jpx    no       742  0   201   202 4231B  17%
  37   306 image     220   143  icc     3   8  jpx    no       744  0   200   201 7107B 7.5%
  37   307 image     192   156  icc     3   8  jpx    no       746  0   200   201 7068B 7.9%
  37   308 image     228   126  icc     3   8  jpx    no       748  0   201   200 7312B 8.5%
  37   309 image     222   123  icc     3   8  jpx    no       726  0   201   200 8437B  10%
  37   310 smask     222   123  gray    1   8  jpx    no       726  0   201   200 4173B  15%
  38   311 image     222   123  icc     3   8  jpx    no       753  0   201   200 7370B 9.0%
  38   312 image     214   120  icc     3   8  jpx    no       755  0   200   201 7018B 9.1%
  38   313 image     183   123  icc     3   8  jpx    no       759  0   200   200 7012B  10%
  38   314 image     225   132  icc     3   8  jpx    no       761  0   200   201 7701B 8.6%
  38   315 image     225   132  icc     3   8  jpx    no       763  0   200   201 6802B 7.6%
  38   316 image     205   131  icc     3   8  jpx    no       767  0   201   200 7543B 9.4%
  38   317 smask     205   131  gray    1   8  jpx    no       767  0   201   200 4307B  16%
  38   318 image     237   139  icc     3   8  jpx    no       769  0   200   201 6898B 7.0%
